"matchid","platform","mapname","gamemode","max_roundnumber","count_rows","team0_role_firstround","team1_role_firstround","team0_user_attributes_firstround","team1_user_attributes_firstround","team0_user_attributes_lastround","team1_user_attributes_lastround","team0_changed","team0_deltasize","team0_startsize","team1_changed","team1_deltasize","team1_startsize","max_count_rows","team0_role_count_round_won","team1_role_count_round_won","team0_meanlevel","team0_stdlevel","team0_skillranks","team1_meanlevel","team1_stdlevel","team1_skillranks","deltateam_meanlevel","deltateam_stdlevel","deltateam_skillranks_ed","abs_deltateam_meanlevel","abs_deltateam_stdlevel","teamreference_won","date","weekdate","patch","dateid"
"2636329829","PC","KAFE DOSTOYEVSKY","PvP � BOMB","8","80","Attacker","Defender","[[Platinum, 91], [Platinum, 108], [Platinum, 167], [Platinum, 81], [Platinum, 213]]","[[Gold, 127], [Platinum, 175], [Platinum, 141], [Platinum, 166], [Platinum, 165]]","[[Platinum, 91], [Platinum, 213], [Platinum, 108], [Platinum, 81], [Platinum, 167]]","[[Platinum, 166], [Platinum, 165], [Gold, 127], [Platinum, 141], [Platinum, 175]]","0","0","5","0","0","5","5","5","3","132.0","50.287174","[0, 0, 0, 0, 0, 5, 0]","154.8","17.893015","[0, 0, 0, 0, 1, 4, 0]","-22.800003","32.394157","1.4142135","22.800003","32.394157","1","2017-03-26 00:00:00.000","13","2.1.2","20170326"
"997472301","PS4","FAVELAS","PvP � SECURE AREA","4","40","Attacker","Defender","[[Gold, 47], [Gold, 111], [Silver, 81], [Gold, 126], [Unranked, 6]]","[[Gold, 127], [Gold, 118], [Gold, 107], [Gold, 141], [Bronze, 84]]","[[Gold, 126], [Silver, 81], [Unranked, 6], [Gold, 111], [Gold, 47]]","[[Bronze, 84], [Gold, 127], [Gold, 107], [Gold, 118], [Gold, 141]]","0","0","5","0","0","5","5","0","4","74.2","43.53114","[1, 0, 0, 1, 3, 0, 0]","115.4","19.252012","[0, 0, 1, 0, 4, 0, 0]","-41.200005","24.279127","2.0","41.200005","24.279127","0","2017-02-21 00:00:00.000","8","2.1.1","20170221"
"1738219621","PS4","CLUB HOUSE","PvP � HOSTAGE","6","57","Attacker","Defender","[[Gold, 118], [Gold, 58], [Gold, 106], [Gold, 122]]","[[Gold, 144], [Gold, 52], [Gold, 64], [Unranked, 114]]","[[Gold, 102], [Gold, 118], [Gold, 106], [Gold, 122], [Gold, 58]]","[[Gold, 64], [Gold, 144], [Gold, 68], [Unranked, 114], [Gold, 52]]","1","1","4","1","1","4","5","4","2","101.0","25.514702","[0, 0, 0, 0, 4, 0, 0]","93.5","37.29276","[1, 0, 0, 0, 3, 0, 0]","7.5","-11.778057","1.4142135","7.5","11.778057","1","2017-02-21 00:00:00.000","8","2.1.1","20170221"
"1655057881","PS4","HOUSE","PvP � SECURE AREA","5","50","Attacker","Defender","[[Unranked, 25], [Silver, 80], [Unranked, 16], [Silver, 98], [Unranked, 107]]","[[Bronze, 72], [Gold, 68], [Bronze, 59], [Bronze, 58], [Bronze, 57]]","[[Unranked, 25], [Silver, 80], [Silver, 98], [Unranked, 107], [Unranked, 16]]","[[Bronze, 72], [Bronze, 57], [Bronze, 58], [Gold, 68], [Bronze, 59]]","0","0","5","0","0","5","5","1","4","65.2","37.626587","[3, 0, 0, 2, 0, 0, 0]","62.8","6.0464864","[0, 0, 4, 0, 1, 0, 0]","2.3999977","31.580101","5.477226","2.3999977","31.580101","0","2017-02-15 00:00:00.000","7","2.1.0","20170215"
"1829742341","XONE","YACHT","PvP � SECURE AREA","4","40","Attacker","Defender","[[Silver, 121], [Copper, 38], [Gold, 111], [Silver, 65], [Gold, 93]]","[[Silver, 74], [Gold, 84], [Silver, 75], [Gold, 168], [Silver, 124]]","[[Gold, 111], [Silver, 121], [Silver, 65], [Copper, 38], [Gold, 93]]","[[Gold, 168], [Silver, 124], [Silver, 74], [Silver, 75], [Gold, 84]]","0","0","5","0","0","5","5","4","0","85.6","30.473595","[0, 1, 0, 2, 2, 0, 0]","105.0","36.419773","[0, 0, 0, 3, 2, 0, 0]","-19.400002","-5.9461784","1.4142135","19.400002","5.9461784","1","2017-04-15 00:00:00.000","15","2.1.2","20170415"
"3141420509","PC","BANK","PvP � SECURE AREA","4","36","Attacker","Defender","[[Gold, 83], [Platinum, 99], [Gold, 97], [Silver, 99], [Gold, 78]]","[[Gold, 130], [Silver, 126], [Gold, 51], [Gold, 91], [Gold, 43]]","[[Gold, 97], [Gold, 78], [Gold, 83]]","[[Gold, 51], [Silver, 126], [Gold, 91], [Gold, 130], [Gold, 43]]","1","-2","5","0","0","5","5","0","4","91.2","8.908423","[0, 0, 0, 1, 3, 1, 0]","88.2","36.36152","[0, 0, 0, 1, 4, 0, 0]","3.0","-27.453094","1.4142135","3.0","27.453094","0","2017-03-19 00:00:00.000","12","2.1.2","20170319"
"987107281","PS4","KANAL","PvP � SECURE AREA","5","46","Attacker","Defender","[[Unranked, 28], [Unranked, 51], [Unranked, 20], [Bronze, 41], [Unranked, 91]]","[[Gold, 91], [Unranked, 67], [Gold, 127], [Gold, 95], [Gold, 79]]","[[Unranked, 20], [Unranked, 51], [Bronze, 41], [Unranked, 91]]","[[Unranked, 67], [Gold, 127], [Gold, 91], [Gold, 79], [Gold, 95]]","1","-1","5","0","0","5","5","1","4","46.2","24.798388","[4, 0, 1, 0, 0, 0, 0]","91.8","20.143486","[1, 0, 0, 0, 4, 0, 0]","-45.600002","4.6549015","5.0990195","45.600002","4.6549015","0","2017-02-19 00:00:00.000","8","2.1.0","20170219"
"3766853789","PS4","CHALET","PvP � BOMB","6","60","Attacker","Defender","[[Gold, 118], [Gold, 128], [Platinum, 85], [Gold, 198], [Gold, 35]]","[[Platinum, 115], [Gold, 22], [Gold, 121], [Gold, 97], [Platinum, 107]]","[[Platinum, 85], [Gold, 35], [Gold, 128], [Gold, 118], [Gold, 198]]","[[Gold, 97], [Platinum, 107], [Platinum, 115], [Gold, 22], [Gold, 121]]","0","0","5","0","0","5","5","2","4","112.8","53.55894","[0, 0, 0, 0, 4, 1, 0]","92.4","36.108727","[0, 0, 0, 0, 3, 2, 0]","20.400002","17.450214","1.4142135","20.400002","17.450214","0","2017-02-11 00:00:00.000","6","2.1.0","20170211"
"1888596341","XONE","BANK","PvP � HOSTAGE","6","54","Attacker","Defender","[[Platinum, 93], [Gold, 76], [Gold, 131], [Copper, 81]]","[[Silver, 113], [Gold, 103], [Gold, 181], [Gold, 119], [Gold, 107]]","[[Platinum, 93], [Gold, 131], [Gold, 76], [Copper, 81]]","[[Gold, 119], [Gold, 181], [Gold, 107], [Gold, 103], [Silver, 113]]","0","0","4","0","0","5","5","2","4","95.25","21.545012","[0, 1, 0, 0, 2, 1, 0]","124.6","28.716545","[0, 0, 0, 1, 4, 0, 0]","-29.349998","-7.1715336","2.6457512","29.349998","7.1715336","0","2017-03-24 00:00:00.000","12","2.1.2","20170324"
"4164036049","XONE","BANK","PvP � SECURE AREA","9","89","Attacker","Defender","[[Gold, 5], [Gold, 111], [Silver, 59], [Gold, 114], [Gold, 83]]","[[Gold, 79], [Gold, 119], [Unranked, 82], [Gold, 88], [Gold, 64]]","[[Gold, 114], [Gold, 83], [Gold, 5], [Gold, 111], [Silver, 59]]","[[Gold, 119], [Gold, 79], [Unranked, 82], [Gold, 64], [Gold, 88]]","0","0","5","0","0","5","5","5","4","74.4","40.087902","[0, 0, 0, 1, 4, 0, 0]","86.4","18.117395","[1, 0, 0, 0, 4, 0, 0]","-12.0","21.970507","1.4142135","12.0","21.970507","1","2017-03-04 00:00:00.000","9","2.1.1","20170304"
